ano,codep,departamento,codmpio,municipio,candidato,votos,codpartido
1994,5,NA,5001,MEDELLIN,JORGE MESA RAMIREZ,23933,45
1994,5,NA,5001,MEDELLIN,ALVARO URIBE VELEZ,72032,1
1994,5,NA,5001,MEDELLIN,JAIME HENRIQUEZ GALLO,1616,1
1994,5,NA,5001,MEDELLIN,ALFONSO NUNEZ LAPEIRA,70751,98
1994,5,NA,5001,MEDELLIN, VOTOS EN BLANCO ,6134,NA
1994,5,NA,5001,MEDELLIN, VOTOS NULOS ,7380,NA
1994,5,NA,5002,ABEJORRAL,JORGE MESA RAMIREZ,290,45
1994,5,NA,5002,ABEJORRAL,ALVARO URIBE VELEZ,1692,1
1994,5,NA,5002,ABEJORRAL,JAIME HENRIQUEZ GALLO,65,1
1994,5,NA,5002,ABEJORRAL,ALFONSO NUNEZ LAPEIRA,1852,98
1994,5,NA,5002,ABEJORRAL, VOTOS EN BLANCO ,83,NA
1994,5,NA,5002,ABEJORRAL, VOTOS NULOS ,1191,NA
1994,5,NA,5004,ABRIAQUI,JORGE MESA RAMIREZ,20,45
1994,5,NA,5004,ABRIAQUI,ALVARO URIBE VELEZ,430,1
1994,5,NA,5004,ABRIAQUI,JAIME HENRIQUEZ GALLO,18,1
1994,5,NA,5004,ABRIAQUI,ALFONSO NUNEZ LAPEIRA,454,98
1994,5,NA,5004,ABRIAQUI, VOTOS EN BLANCO ,70,NA
1994,5,NA,5004,ABRIAQUI, VOTOS NULOS ,151,NA
1994,5,NA,5021,ALEJANDRIA,JORGE MESA RAMIREZ,19,45
1994,5,NA,5021,ALEJANDRIA,ALVARO URIBE VELEZ,625,1
1994,5,NA,5021,ALEJANDRIA,JAIME HENRIQUEZ GALLO,29,1
1994,5,NA,5021,ALEJANDRIA,ALFONSO NUNEZ LAPEIRA,536,98
1994,5,NA,5021,ALEJANDRIA, VOTOS EN BLANCO ,22,NA
1994,5,NA,5021,ALEJANDRIA, VOTOS NULOS ,634,NA
1994,5,NA,5030,AMAGA,JORGE MESA RAMIREZ,879,45
1994,5,NA,5030,AMAGA,ALVARO URIBE VELEZ,1239,1
1994,5,NA,5030,AMAGA,JAIME HENRIQUEZ GALLO,70,1
1994,5,NA,5030,AMAGA,ALFONSO NUNEZ LAPEIRA,1774,98
1994,5,NA,5030,AMAGA, VOTOS EN BLANCO ,85,NA
1994,5,NA,5030,AMAGA, VOTOS NULOS ,1009,NA
1994,5,NA,5031,AMALFI,JORGE MESA RAMIREZ,52,45
1994,5,NA,5031,AMALFI,ALVARO URIBE VELEZ,2090,1
1994,5,NA,5031,AMALFI,JAIME HENRIQUEZ GALLO,67,1
1994,5,NA,5031,AMALFI,ALFONSO NUNEZ LAPEIRA,801,98
1994,5,NA,5031,AMALFI, VOTOS EN BLANCO ,81,NA
1994,5,NA,5031,AMALFI, VOTOS NULOS ,1132,NA
1994,5,NA,5034,ANDES,JORGE MESA RAMIREZ,405,45
1994,5,NA,5034,ANDES,ALVARO URIBE VELEZ,2967,1
1994,5,NA,5034,ANDES,JAIME HENRIQUEZ GALLO,161,1
1994,5,NA,5034,ANDES,ALFONSO NUNEZ LAPEIRA,2335,98
1994,5,NA,5034,ANDES, VOTOS EN BLANCO ,431,NA
1994,5,NA,5034,ANDES, VOTOS NULOS ,2016,NA
1994,5,NA,5036,ANGELOPOLIS,JORGE MESA RAMIREZ,234,45
1994,5,NA,5036,ANGELOPOLIS,ALVARO URIBE VELEZ,562,1
1994,5,NA,5036,ANGELOPOLIS,JAIME HENRIQUEZ GALLO,38,1
1994,5,NA,5036,ANGELOPOLIS,ALFONSO NUNEZ LAPEIRA,366,98
1994,5,NA,5036,ANGELOPOLIS, VOTOS EN BLANCO ,32,NA
1994,5,NA,5036,ANGELOPOLIS, VOTOS NULOS ,781,NA
1994,5,NA,5038,ANGOSTURA,JORGE MESA RAMIREZ,39,45
1994,5,NA,5038,ANGOSTURA,ALVARO URIBE VELEZ,874,1
1994,5,NA,5038,ANGOSTURA,JAIME HENRIQUEZ GALLO,41,1
1994,5,NA,5038,ANGOSTURA,ALFONSO NUNEZ LAPEIRA,258,98
1994,5,NA,5038,ANGOSTURA, VOTOS EN BLANCO ,83,NA
1994,5,NA,5038,ANGOSTURA, VOTOS NULOS ,468,NA
1994,5,NA,5040,ANORI,JORGE MESA RAMIREZ,33,45
1994,5,NA,5040,ANORI,ALVARO URIBE VELEZ,1201,1
1994,5,NA,5040,ANORI,JAIME HENRIQUEZ GALLO,43,1
1994,5,NA,5040,ANORI,ALFONSO NUNEZ LAPEIRA,747,98
1994,5,NA,5040,ANORI, VOTOS EN BLANCO ,195,NA
1994,5,NA,5040,ANORI, VOTOS NULOS ,445,NA
1994,5,NA,5042,SANTAFE DE ANTIOQUIA,JORGE MESA RAMIREZ,158,45
1994,5,NA,5042,SANTAFE DE ANTIOQUIA,ALVARO URIBE VELEZ,1629,1
1994,5,NA,5042,SANTAFE DE ANTIOQUIA,JAIME HENRIQUEZ GALLO,62,1
1994,5,NA,5042,SANTAFE DE ANTIOQUIA,ALFONSO NUNEZ LAPEIRA,1434,98
1994,5,NA,5042,SANTAFE DE ANTIOQUIA, VOTOS EN BLANCO ,324,NA
1994,5,NA,5042,SANTAFE DE ANTIOQUIA, VOTOS NULOS ,1303,NA
1994,5,NA,5044,ANZA,JORGE MESA RAMIREZ,31,45
1994,5,NA,5044,ANZA,ALVARO URIBE VELEZ,509,1
1994,5,NA,5044,ANZA,JAIME HENRIQUEZ GALLO,24,1
1994,5,NA,5044,ANZA,ALFONSO NUNEZ LAPEIRA,72,98
1994,5,NA,5044,ANZA, VOTOS EN BLANCO ,22,NA
1994,5,NA,5044,ANZA, VOTOS NULOS ,354,NA
1994,5,NA,5045,APARTADO,JORGE MESA RAMIREZ,112,45
1994,5,NA,5045,APARTADO,ALVARO URIBE VELEZ,1918,1
1994,5,NA,5045,APARTADO,JAIME HENRIQUEZ GALLO,199,1
1994,5,NA,5045,APARTADO,ALFONSO NUNEZ LAPEIRA,3353,98
1994,5,NA,5045,APARTADO, VOTOS EN BLANCO ,334,NA
1994,5,NA,5045,APARTADO, VOTOS NULOS ,1476,NA
1994,5,NA,5051,ARBOLETES,JORGE MESA RAMIREZ,39,45
1994,5,NA,5051,ARBOLETES,ALVARO URIBE VELEZ,2363,1
1994,5,NA,5051,ARBOLETES,JAIME HENRIQUEZ GALLO,129,1
1994,5,NA,5051,ARBOLETES,ALFONSO NUNEZ LAPEIRA,886,98
1994,5,NA,5051,ARBOLETES, VOTOS EN BLANCO ,223,NA
1994,5,NA,5051,ARBOLETES, VOTOS NULOS ,1422,NA
1994,5,NA,5055,ARGELIA,JORGE MESA RAMIREZ,104,45
1994,5,NA,5055,ARGELIA,ALVARO URIBE VELEZ,686,1
1994,5,NA,5055,ARGELIA,JAIME HENRIQUEZ GALLO,76,1
1994,5,NA,5055,ARGELIA,ALFONSO NUNEZ LAPEIRA,1277,98
1994,5,NA,5055,ARGELIA, VOTOS EN BLANCO ,32,NA
1994,5,NA,5055,ARGELIA, VOTOS NULOS ,994,NA
1994,5,NA,5059,ARMENIA,JORGE MESA RAMIREZ,46,45
1994,5,NA,5059,ARMENIA,ALVARO URIBE VELEZ,591,1
1994,5,NA,5059,ARMENIA,JAIME HENRIQUEZ GALLO,24,1
1994,5,NA,5059,ARMENIA,ALFONSO NUNEZ LAPEIRA,322,98
1994,5,NA,5059,ARMENIA, VOTOS EN BLANCO ,145,NA
1994,5,NA,5059,ARMENIA, VOTOS NULOS ,328,NA
1994,5,NA,5079,BARBOSA,JORGE MESA RAMIREZ,1333,45
1994,5,NA,5079,BARBOSA,ALVARO URIBE VELEZ,1525,1
1994,5,NA,5079,BARBOSA,JAIME HENRIQUEZ GALLO,189,1
1994,5,NA,5079,BARBOSA,ALFONSO NUNEZ LAPEIRA,3287,98
1994,5,NA,5079,BARBOSA, VOTOS EN BLANCO ,925,NA
1994,5,NA,5079,BARBOSA, VOTOS NULOS ,2429,NA
1994,5,NA,5086,BELMIRA,JORGE MESA RAMIREZ,64,45
1994,5,NA,5086,BELMIRA,ALVARO URIBE VELEZ,356,1
1994,5,NA,5086,BELMIRA,JAIME HENRIQUEZ GALLO,21,1
1994,5,NA,5086,BELMIRA,ALFONSO NUNEZ LAPEIRA,683,98
1994,5,NA,5086,BELMIRA, VOTOS EN BLANCO ,18,NA
1994,5,NA,5086,BELMIRA, VOTOS NULOS ,262,NA
1994,5,NA,5088,BELLO,JORGE MESA RAMIREZ,6340,45
1994,5,NA,5088,BELLO,ALVARO URIBE VELEZ,10832,1
1994,5,NA,5088,BELLO,JAIME HENRIQUEZ GALLO,512,1
1994,5,NA,5088,BELLO,ALFONSO NUNEZ LAPEIRA,15709,98
1994,5,NA,5088,BELLO, VOTOS EN BLANCO ,2333,NA
1994,5,NA,5088,BELLO, VOTOS NULOS ,3946,NA
1994,5,NA,5091,BETANIA,JORGE MESA RAMIREZ,42,45
1994,5,NA,5091,BETANIA,ALVARO URIBE VELEZ,1437,1
1994,5,NA,5091,BETANIA,JAIME HENRIQUEZ GALLO,36,1
1994,5,NA,5091,BETANIA,ALFONSO NUNEZ LAPEIRA,334,98
1994,5,NA,5091,BETANIA, VOTOS EN BLANCO ,155,NA
1994,5,NA,5091,BETANIA, VOTOS NULOS ,537,NA
1994,5,NA,5093,BETULIA,JORGE MESA RAMIREZ,302,45
1994,5,NA,5093,BETULIA,ALVARO URIBE VELEZ,1247,1
1994,5,NA,5093,BETULIA,JAIME HENRIQUEZ GALLO,51,1
1994,5,NA,5093,BETULIA,ALFONSO NUNEZ LAPEIRA,459,98
1994,5,NA,5093,BETULIA, VOTOS EN BLANCO ,267,NA
1994,5,NA,5093,BETULIA, VOTOS NULOS ,1213,NA
1994,5,NA,5101,CIUDAD BOLIVAR,JORGE MESA RAMIREZ,153,45
1994,5,NA,5101,CIUDAD BOLIVAR,ALVARO URIBE VELEZ,2830,1
1994,5,NA,5101,CIUDAD BOLIVAR,JAIME HENRIQUEZ GALLO,89,1
1994,5,NA,5101,CIUDAD BOLIVAR,ALFONSO NUNEZ LAPEIRA,820,98
1994,5,NA,5101,CIUDAD BOLIVAR, VOTOS EN BLANCO ,464,NA
1994,5,NA,5101,CIUDAD BOLIVAR, VOTOS NULOS ,1167,NA
1994,5,NA,5107,BRICENO,JORGE MESA RAMIREZ,18,45
1994,5,NA,5107,BRICENO,ALVARO URIBE VELEZ,627,1
1994,5,NA,5107,BRICENO,JAIME HENRIQUEZ GALLO,58,1
1994,5,NA,5107,BRICENO,ALFONSO NUNEZ LAPEIRA,461,98
1994,5,NA,5107,BRICENO, VOTOS EN BLANCO ,21,NA
1994,5,NA,5107,BRICENO, VOTOS NULOS ,580,NA
1994,5,NA,5113,BURITICA,JORGE MESA RAMIREZ,58,45
1994,5,NA,5113,BURITICA,ALVARO URIBE VELEZ,853,1
1994,5,NA,5113,BURITICA,JAIME HENRIQUEZ GALLO,19,1
1994,5,NA,5113,BURITICA,ALFONSO NUNEZ LAPEIRA,994,98
1994,5,NA,5113,BURITICA, VOTOS EN BLANCO ,17,NA
1994,5,NA,5113,BURITICA, VOTOS NULOS ,348,NA
1994,5,NA,5120,CACERES,JORGE MESA RAMIREZ,628,45
1994,5,NA,5120,CACERES,ALVARO URIBE VELEZ,1892,1
1994,5,NA,5120,CACERES,JAIME HENRIQUEZ GALLO,88,1
1994,5,NA,5120,CACERES,ALFONSO NUNEZ LAPEIRA,455,98
1994,5,NA,5120,CACERES, VOTOS EN BLANCO ,39,NA
1994,5,NA,5120,CACERES, VOTOS NULOS ,1985,NA
1994,5,NA,5125,CAICEDO,JORGE MESA RAMIREZ,28,45
1994,5,NA,5125,CAICEDO,ALVARO URIBE VELEZ,781,1
1994,5,NA,5125,CAICEDO,JAIME HENRIQUEZ GALLO,22,1
1994,5,NA,5125,CAICEDO,ALFONSO NUNEZ LAPEIRA,268,98
1994,5,NA,5125,CAICEDO, VOTOS EN BLANCO ,36,NA
1994,5,NA,5125,CAICEDO, VOTOS NULOS ,731,NA
1994,5,NA,5129,CALDAS,JORGE MESA RAMIREZ,2082,45
1994,5,NA,5129,CALDAS,ALVARO URIBE VELEZ,2995,1
1994,5,NA,5129,CALDAS,JAIME HENRIQUEZ GALLO,127,1
1994,5,NA,5129,CALDAS,ALFONSO NUNEZ LAPEIRA,3365,98
1994,5,NA,5129,CALDAS, VOTOS EN BLANCO ,315,NA
1994,5,NA,5129,CALDAS, VOTOS NULOS ,1327,NA
1994,5,NA,5134,CAMPAMENTO,JORGE MESA RAMIREZ,45,45
1994,5,NA,5134,CAMPAMENTO,ALVARO URIBE VELEZ,709,1
1994,5,NA,5134,CAMPAMENTO,JAIME HENRIQUEZ GALLO,72,1
1994,5,NA,5134,CAMPAMENTO,ALFONSO NUNEZ LAPEIRA,538,98
1994,5,NA,5134,CAMPAMENTO, VOTOS EN BLANCO ,15,NA
